run_id,dataset,subject,base,n_checkpoints,train_seeds,n_eval_total_per_checkpoint,CC,MSE,RMSE,T_RRMSE,S_RRMSE,SDR,PSD_KLD,PSD_WD,source_file
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A05,2,3,42 43 44,819,0.5693955421447754,0.3114132384459178,0.5456654495663112,0.8610634538862441,0.9292220407062108,1.3557729985978868,1.4352574480904474,18.30130386352539,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A05,4,3,42 43 44,819,0.6148624685075548,0.2756032745043437,0.5111967623233795,0.8079873455895318,0.8661652339829339,1.9556189907921688,1.306255751185947,17.437462276882595,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A05,6,3,42 43 44,819,0.6114286382993063,0.2743647926383548,0.5088438954618242,0.804865234427982,0.8414880898263719,2.018024894926283,1.322577502992418,17.466228908962673,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A05,8,3,42 43 44,819,0.6269554628266228,0.2666322390238444,0.50098717212677,0.7923187878396776,0.81017005443573,2.16446942753262,1.3232097625732422,17.585610919528538,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A05,16,3,42 43 44,819,0.6362347536616855,0.2557011594374974,0.4908187058236864,0.7763225502438015,0.7641961442099677,2.339195516374376,1.2882890303929646,18.047252443101677,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A06,2,3,42 43 44,807,0.6977217197418213,0.2250525487793816,0.4657566414939033,0.7368350889947679,0.6175115505854288,2.7794708675808377,0.4715043505032857,5.99192115995619,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A06,4,3,42 43 44,807,0.7174489961730109,0.2193442053265041,0.4594277607070075,0.730024258295695,0.5856795774565803,2.9084503915574818,0.3545570737785763,5.062863190968831,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A06,6,3,42 43 44,807,0.7208980454338921,0.21940944592158,0.4593522416220771,0.7307220697402954,0.5783145427703857,2.9139219654930963,0.3320684333642323,4.84038586086697,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A06,8,3,42 43 44,807,0.7207813130484687,0.2241569774018393,0.463930543926027,0.7382785280545553,0.5828756822480096,2.8342357211642795,0.3297272225220998,4.825039598676893,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A06,16,3,42 43 44,807,0.718599345948961,0.2257524381081263,0.4656309220525953,0.741676476266649,0.5845558510886298,2.80270971192254,0.3421435058116913,4.954464753468831,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A07,2,3,42 43 44,813,0.7513853046629164,0.1883442832363976,0.4219188789526621,0.6780022713873122,0.712549520863427,3.493058522542318,0.6217525998751322,7.053609000311957,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A07,4,3,42 43 44,813,0.7872412602106731,0.1577726089292102,0.3853595389260186,0.6195992628733317,0.6102857324812148,4.294286674923368,0.439461092154185,5.89409425523546,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A07,6,3,42 43 44,813,0.7906558977233039,0.1552712387508816,0.3818603952725728,0.6141581800248888,0.5937484701474508,4.3821832868787975,0.4166748325030009,5.6581818792555065,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A07,8,3,42 43 44,813,0.7951702210638258,0.152332271138827,0.3778708279132843,0.6073355542288886,0.5685467190212674,4.481045987870958,0.4063503709104326,5.579600705040826,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A07,16,3,42 43 44,813,0.7937671211030748,0.1527610669533411,0.3780958520041572,0.6074340211020576,0.5465947323375278,4.480952103932698,0.3954630692799886,5.61496278974745,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A08,2,3,42 43 44,819,0.7457658582263522,0.1890241569942898,0.4254651996824476,0.6736899415651957,0.5255183080832163,3.5203406280941434,0.8094525900151994,14.090118302239311,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A08,4,3,42 43 44,819,0.7764474749565125,0.169452675514751,0.4009160962369706,0.6344984836048551,0.4853341016504499,4.076062361399333,0.578432493739658,12.954944716559517,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A08,6,3,42 43 44,819,0.7806143893135918,0.1677376214000913,0.3984995947943793,0.6308194001515707,0.4823322958416409,4.137396812438965,0.5480036205715604,12.48046726650662,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A08,8,3,42 43 44,819,0.7678575846883986,0.1782212687863243,0.4096235235532124,0.6480010218090482,0.5315049886703491,3.924966785642836,0.6274082793129815,13.396613226996529,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A08,16,3,42 43 44,819,0.7604184084468417,0.1833730240662892,0.4158904453118642,0.6588713394271003,0.5452067951361338,3.786374171574911,0.7096051110161675,13.94478628370497,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A09,2,3,42 43 44,810,0.7540799842940437,0.1890066663424174,0.422641310426924,0.6789162026511298,0.4848103920618692,3.543810394075181,0.26417552265856,3.2934608459472656,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A09,4,3,42 43 44,810,0.7852792077594334,0.1674647728602091,0.3968799975183275,0.6388505101203918,0.4334870345062679,4.11795695622762,0.2033406330479515,2.518454233805339,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A09,6,3,42 43 44,810,0.7867530783017477,0.1693886054886711,0.3985570636060502,0.6422127882639567,0.4337595933013492,4.09674678908454,0.1892700178755654,2.3245551851060657,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A09,8,3,42 43 44,810,0.786063724093967,0.1710524062315623,0.3999610907501644,0.6441446211602952,0.4390121301015218,4.077654441197714,0.1931025601095623,2.332958459854126,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A09,16,3,42 43 44,810,0.7853515942891439,0.1706050038337707,0.3993956877125634,0.6431124409039816,0.433699349562327,4.09194016456604,0.1980239931080076,2.367606110042996,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B01,2,3,42 43 44,1500,0.7337985436121623,0.2097943094041612,0.4453350371784634,0.7046915226512486,0.6174608336554633,3.191266324785021,0.4003124501970079,4.875823842154609,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
