task,task_label,base,base_label,seed,epoch,train_loss,val_SDR,budget,lr,source_file,aggregation
emg,EMG,4,base4,42,60,0.06326090585263,6.9013122982449,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,61,0.0632774426113991,6.897593568872522,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,62,0.0632592484354972,6.906952575401023,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,63,0.0632340359368494,6.894725269741482,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,64,0.0632360878977037,6.9016191871077925,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,65,0.0632193774162303,6.908307993853533,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,66,0.063245763150709,6.907561284524423,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,67,0.0632410880533002,6.906255368833189,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,68,0.0632252247737986,6.907836084012632,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,69,0.0632367426973013,6.907640510135227,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,70,0.0632326001035315,6.906804367348,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,71,0.0632207604746023,6.908494260576036,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,72,0.0632503344899132,6.906868245866564,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,73,0.0632138387255725,6.907931009928386,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,74,0.0632192106119224,6.907053276344582,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,75,0.0632129662980636,6.9082335189536765,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,1,0.1403271940847238,2.094235067014341,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,2,0.08412371384246,5.795553066112377,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,3,0.0691287490938391,6.251897935514097,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,4,0.0674913827152479,6.363851847472014,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,5,0.0666045265183562,6.484951213554099,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,6,0.0660299830138683,6.570998509724935,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,7,0.0655810588882083,6.625875773253264,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,8,0.0651635713875293,6.647970358530681,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,9,0.0648901720132146,6.703620345504196,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,10,0.0646719130554369,6.719059361351861,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,11,0.0645348828818116,6.752476780502884,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,12,0.0643635735980102,6.697101840266475,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,13,0.0642520052159116,6.75041025656241,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,14,0.0641045848883333,6.762314390253137,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
