row_type,dataset,subject,base,CC,SDR,n_checkpoints,train_seeds,CC_mean,CC_ci95_low,CC_ci95_high,SDR_mean,SDR_ci95_low,SDR_ci95_high,n_subjects,source_file
subject,BCI_IV2b,B05,4,0.7453963491651747,3.497270319196913,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B05,6,0.7490823931164212,3.5065966977013483,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B05,8,0.7502749959627787,3.54081212149726,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B05,16,0.7479740116331313,3.499913533528646,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B06,2,0.7551668882369995,3.610922230614556,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B06,4,0.7794793314403958,4.1658669577704535,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B06,6,0.7832611401875814,4.271344025929769,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B06,8,0.784132613076104,4.301314883761936,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B06,16,0.7813814481099447,4.2881209055582685,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B07,2,0.6498958667119344,2.2591946257485285,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B07,4,0.6791717211405437,2.744526783625285,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B07,6,0.6750437749756707,2.7334927717844644,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B07,8,0.67048446337382,2.6887673007117376,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B07,16,0.6594489812850952,2.5708713266584606,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B08,2,0.7617263595263163,3.3643105824788413,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B08,4,0.7833983500798544,3.699232578277588,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B08,6,0.7831164863374498,3.66023924615648,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B08,8,0.7800672584109837,3.58461078008016,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B08,16,0.7753837903340658,3.458944241205851,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B09,2,0.7354674206839668,3.2262902789645724,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B09,4,0.7618935969140794,3.63957773314582,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B09,6,0.7628004286024306,3.619269265068902,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B09,8,0.7601748307545979,3.548438443077935,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B09,16,0.7561344239446852,3.429641193813748,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
mean_ci,BCI_IV2a,,2,,,,,0.7014665868547227,0.6603148461491974,0.7375098442221865,2.8854990976828114,2.4060915876317908,3.3219999414167285,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2a,,4,,,,,0.7343563739164376,0.6944034680908109,0.7715444393915895,3.468048913979236,2.9262238353122902,4.006804105013977,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2a,,6,,,,,0.7373700907200943,0.6959224047668185,0.7740043783077488,3.5385530142136563,2.972746260298623,4.095511513138995,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2a,,8,,,,,0.7374883757697211,0.6981973545050916,0.7748721937890407,3.5472705864611966,2.9985056733643565,4.112966031277621,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2a,,16,,,,,0.7346726126141018,0.6963431595468227,0.7723117309955903,3.53830243923046,2.997684204504813,4.110896810778865,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2b,,2,,,,,0.7267104703703045,0.702585478734087,0.7475629360587508,3.150805568989413,2.80579725018254,3.4629407979088067,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2b,,4,,,,,0.7528697193404774,0.7284322814257057,0.7731859499841561,3.6619931650750432,3.304061324876032,3.9888801927919735,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2b,,6,,,,,0.7535883695990951,0.7282542377526376,0.7745692316764666,3.675918540836853,3.323635662632224,4.012147378627165,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2b,,8,,,,,0.7541589972413616,0.7286995789151133,0.7740449374840582,3.660090575983495,3.2990969540160378,4.009638729066023,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
mean_ci,BCI_IV2b,,16,,,,,0.749751924732585,0.7233222274132717,0.7706067444365702,3.577241464897438,3.202550185094645,3.940023442845285,9,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
