recipe,recipe_label,classifier,classifier_label,metric,metric_label,oriented_slope,bh_fdr_q,outlined_bh_fdr_q_lt_0_05,n_observations,n_subjects,source_file
emg,EMG,eegconformer,EEGConformer,SDR,SDR,0.0862308582501892,0.0044946177004193,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegnet,EEGNet,CC,CC,0.2602917121749961,0.1808125653939684,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegnet,EEGNet,RMSE,RMSE,0.0202775209918833,0.1872960548918255,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegnet,EEGNet,T_RRMSE,T-RRMSE,0.2340365339821245,0.1808125653939684,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegnet,EEGNet,S_RRMSE,S-RRMSE,0.1592280196878706,0.1040477865976503,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegnet,EEGNet,SDR,SDR,0.0126284240663453,0.3716247733005713,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,deep4net,Deep4Net,CC,CC,0.0374023997759052,0.911119398419033,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,deep4net,Deep4Net,RMSE,RMSE,-0.0128323000596847,0.6929047542657458,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,deep4net,Deep4Net,T_RRMSE,T-RRMSE,-0.0967791456945829,0.7867303932662759,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,deep4net,Deep4Net,S_RRMSE,S-RRMSE,0.0810309210387588,0.2809127705435724,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,deep4net,Deep4Net,SDR,SDR,-0.0146910096089461,0.6557930150449922,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,CC,CC,0.5038801672241559,0.1808125653939684,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,RMSE,RMSE,0.066636769196859,0.0052677759708267,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,T_RRMSE,T-RRMSE,0.7049598726809023,0.0044946177004193,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,S_RRMSE,S-RRMSE,0.3462965080434802,0.0027963668758189,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,SDR,SDR,0.0537379134658875,0.0029834470710798,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,shallowfbcsp,ShallowFBCSPNet,CC,CC,0.4461895725123227,0.0324438376708006,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,shallowfbcsp,ShallowFBCSPNet,RMSE,RMSE,0.0479094984351455,0.0021292508742575,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,shallowfbcsp,ShallowFBCSPNet,T_RRMSE,T-RRMSE,0.4936435637260659,0.0016967707772853,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,shallowfbcsp,ShallowFBCSPNet,S_RRMSE,S-RRMSE,0.2178736556501049,0.0180266040322548,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,shallowfbcsp,ShallowFBCSPNet,SDR,SDR,0.0416281166391084,0.0016967707772853,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegconformer,EEGConformer,CC,CC,0.3870379728134432,0.2822205482771694,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegconformer,EEGConformer,RMSE,RMSE,0.0556639686604298,0.1602182261351096,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegconformer,EEGConformer,T_RRMSE,T-RRMSE,0.5369809042630196,0.1332767903589503,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegconformer,EEGConformer,S_RRMSE,S-RRMSE,0.2537304272731528,0.1062151776028632,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegconformer,EEGConformer,SDR,SDR,0.046042027345828,0.1244042657966447,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegnet,EEGNet,CC,CC,0.1342849746699085,0.685350242893035,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegnet,EEGNet,RMSE,RMSE,0.0216598367685474,0.6021186565926815,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegnet,EEGNet,T_RRMSE,T-RRMSE,0.1732486860444151,0.6557930150449922,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegnet,EEGNet,S_RRMSE,S-RRMSE,0.1453843289644118,0.1244042657966447,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,eegnet,EEGNet,SDR,SDR,0.0123187307220105,0.6929047542657458,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,CC,CC,0.331934586458243,0.1769458748593388,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,RMSE,RMSE,0.0425847220267371,0.1602182261351096,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,T_RRMSE,T-RRMSE,0.4390611223591764,0.1104926960609723,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,S_RRMSE,S-RRMSE,0.1828838863785426,0.0324438376708006,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,SDR,SDR,0.0364429991832214,0.1459651902710114,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
