run_id,recipe,recipe_label,classifier,classifier_label,base,subject,delta_accuracy,baseline_accuracy_mean,processed_accuracy_mean,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,primary_independent_unit,source_file
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A05,-0.0267042404723564,0.2809983896940419,0.2542941492216855,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A06,0.0439276485788113,0.3100775193798449,0.3540051679586563,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A07,-0.0311538975798903,0.5118331327717609,0.4806792351918705,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A08,0.020090200902009,0.6010660106601066,0.6211562115621156,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A09,-0.0063131313131313,0.6574074074074074,0.6510942760942761,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A01,-0.0146302886516409,0.4820086990905496,0.4673784104389086,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A02,-0.0014396021463159,0.2854338437377307,0.2839942415914147,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A03,0.0181793515126848,0.6133496133496134,0.6315289648622981,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A04,0.0133203378817413,0.398635477582846,0.4119558154645873,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A05,-0.0356951154052603,0.2890499194847021,0.2533548040794418,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A06,0.0022394487510766,0.2677002583979328,0.2699397071490095,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A07,0.1005482016312341,0.3381468110709988,0.4386950127022329,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A08,-0.005056717233839,0.4235342353423534,0.4184775181085144,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
