row_type,panel,recipe,classifier,classifier_label,base,subject,delta_accuracy,mean_delta_accuracy,bootstrap_ci95_low,bootstrap_ci95_high,n_subjects_for_inference,primary_independent_unit,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,source_file,aggregation
subject,EOG,eog,eegnet,EEGNet,16,A06,0.0022394487510766,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A07,0.1005482016312341,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A08,-0.005056717233839,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A09,-0.0079966329966329,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EOG,eog,eegnet,EEGNet,16,,,0.0077187759270053,-0.0122040286274218,0.0339572570945371,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EOG,eog,deep4net,Deep4Net,16,A01,0.0013180440226703,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A02,-0.0217249051171312,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A03,0.0748880748880748,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A04,0.0019493177387914,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A05,-0.0224100912506709,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
