classifier,recipe,subject,base,oriented_sdr,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seed_values,classifier_label,recipe_label,source_file
csp_lda,eog,A01,2,1.8954608726501465,-0.1665480427046263,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A01,4,2.3055466842651366,-0.14007117437722413,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A01,6,2.485444107055664,-0.11387900355871883,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A01,8,2.560524559020996,-0.09793594306049817,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A01,16,2.4072469520568847,-0.08284697508896793,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A02,2,1.387438883781433,-0.16070671378091866,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A02,4,1.3065577363967895,-0.1417667844522968,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A02,6,1.3560295581817627,-0.1477031802120141,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A02,8,1.4512140989303588,-0.14431095406360417,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A02,16,1.349219970703125,-0.14261484098939925,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A03,2,2.0487347936630247,-0.1727472527472527,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A03,4,2.0419758462905886,-0.1536996336996337,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A03,6,2.0666809272766113,-0.09318681318681314,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A03,8,2.1264514923095703,-0.06036630036630035,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A03,16,2.030792684555054,-0.05025641025641022,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A04,2,1.549818754196167,-0.1889473684210526,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A04,4,1.3156182670593262,-0.08877192982456135,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A04,6,1.302065212726593,-0.07175438596491224,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A04,8,1.2688886690139771,-0.08333333333333329,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A04,16,1.301895260810852,-0.051403508771929785,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A05,2,0.5846082615852356,0.021449275362318835,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A05,4,0.6865716207027436,0.03347826086956521,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A05,6,0.5200315380096435,0.024202898550724626,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A05,8,0.6252116334438323,0.019275362318840562,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A05,16,0.5151271867752075,0.013333333333333313,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A06,2,1.1493053197860719,-0.0626976744186046,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A06,4,0.48125661954283716,-0.03572093023255809,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A06,6,0.4107261957228184,-0.02660465116279066,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A06,8,0.2979398368299007,-0.03553488372093021,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A06,16,0.37310645383084196,-0.029767441860465083,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A07,2,1.4130902290344238,-0.09501805054151621,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A07,4,0.770595736503601,-0.111913357400722,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A07,6,0.6640028488636017,-0.13761732851985556,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A07,8,0.6637175977230072,-0.12433212996389888,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A07,16,0.7056626904010773,-0.11263537906137179,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A08,2,2.392296724319458,-0.08929889298892986,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A08,4,2.3154669618606567,-0.050332103321033175,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A08,6,2.1926416540145874,-0.03040590405904057,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A08,8,2.216304521560669,-0.04162361623616233,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A08,16,2.1881960439682007,-0.03350553505535052,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A09,2,0.58616569429636,-0.04106060606060605,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
