dataset_panel,artifact,width,base,seed,parameters,CC,source_file,run_dir
EEGDenoiseNet EMG,emg,base16,16,46,40262,0.842034101486206,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_emg_base16_seed46
EEGDenoiseNet EOG,eog,base2,2,42,1048,0.849756121635437,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base2_seed42
EEGDenoiseNet EOG,eog,base2,2,43,1048,0.8897610306739807,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base2_seed43
EEGDenoiseNet EOG,eog,base2,2,44,1048,0.8704563975334167,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base2_seed44
EEGDenoiseNet EOG,eog,base2,2,45,1048,0.8739844560623169,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base2_seed45
EEGDenoiseNet EOG,eog,base2,2,46,1048,0.8703950047492981,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base2_seed46
EEGDenoiseNet EOG,eog,base4,4,42,3218,0.8986411690711975,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base4_seed42
EEGDenoiseNet EOG,eog,base4,4,43,3218,0.8995012640953064,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base4_seed43
EEGDenoiseNet EOG,eog,base4,4,44,3218,0.8955281972885132,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base4_seed44
EEGDenoiseNet EOG,eog,base4,4,45,3218,0.8981603980064392,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base4_seed45
EEGDenoiseNet EOG,eog,base4,4,46,3218,0.897542417049408,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base4_seed46
EEGDenoiseNet EOG,eog,base6,6,42,6532,0.904794991016388,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed42
EEGDenoiseNet EOG,eog,base6,6,43,6532,0.9060389399528505,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed43
