subject,recipe,domain_condition,base,n_contamination_seed_pairs,n_checkpoint_seeds,n_observations_averaged,raw_accuracy_mean,noisy_accuracy_mean,denoised_accuracy_mean,delta_accuracy,delta_accuracy_sd_over_nuisance,checkpoint_delta_sd_within_subject,contamination_delta_sd_within_subject,CC_mean,CC_sd_over_nuisance,RMSE_mean,RMSE_sd_over_nuisance,T_RRMSE_mean,T_RRMSE_sd_over_nuisance,S_RRMSE_mean,S_RRMSE_sd_over_nuisance,SDR_mean,SDR_sd_over_nuisance,delta_accuracy_pp,source_file
A06,eog,zero_shot_external,6,5,3,15,0.4465116279069767,0.4781395348837209,0.4520930232558139,-0.0260465116279069,0.0253416735282802,0.0056583837491146,0.0241532275843254,0.7407877008120219,0.0037885180512741,11.692574946085612,0.1940923220163354,0.9761274655659994,0.0159060853673806,1.363270672162374,0.0449914271923745,0.4502178231875102,0.1413249509186363,-2.6046511627906903,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A06,eog,zero_shot_external,16,5,3,15,0.4465116279069767,0.4781395348837209,0.4443410852713178,-0.033798449612403,0.0302691660123713,0.010455637395403,0.0240034851144237,0.7393167575200399,0.0044700199790228,11.746098391215009,0.1915546377542482,0.9815433820088704,0.0157141802435166,1.3681421995162963,0.0444034015272597,0.3965675820906957,0.1404658712217924,-3.3798449612402997,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A07,eog,bci_adapted_single_channel,6,5,3,15,0.5487364620938628,0.5740072202166066,0.4353790613718412,-0.1386281588447653,0.0371382724362581,0.0303506852808428,0.0249594021912543,0.7412954847017924,0.0046288087956732,6.271605078379313,0.2279972922645641,0.747445531686147,0.0267688384423419,0.4969203293323517,0.0250487042040175,2.74228212038676,0.2983707183456469,-13.862815884476529,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A07,eog,bci_adapted_single_channel,16,5,3,15,0.5487364620938628,0.5740072202166066,0.423826714801444,-0.1501805054151624,0.0301364511624509,0.0073277195415828,0.0204112173414353,0.7300085226694742,0.0053546432427518,6.687271722157797,0.0940978425887246,0.7965857823689778,0.0112726235133253,0.5830143809318542,0.0412702714867324,2.1853248119354247,0.1173768507364142,-15.01805054151624,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A07,eog,zero_shot_external,6,5,3,15,0.5487364620938628,0.5740072202166066,0.4308062575210589,-0.1432009626955475,0.0200847884571908,0.0173335331697047,0.0052453657563666,0.6986965616544087,0.0033647622322295,7.967723083496094,0.0791776342499516,0.9492613593737284,0.0087644840845886,1.004248213768005,0.0166059281654065,0.699363640944163,0.0842990869560004,-14.32009626955475,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A07,eog,zero_shot_external,16,5,3,15,0.5487364620938628,0.5740072202166066,0.4406738868832732,-0.1333333333333333,0.0498453989104694,0.0510257020757814,0.0187470900022742,0.697305190563202,0.0045815698907569,7.950682322184245,0.0792262781772264,0.9471924384435018,0.0087365520405324,1.0075814803441363,0.0215420078758485,0.7076212922732036,0.082764047778112,-13.33333333333333,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A08,eog,bci_adapted_single_channel,6,5,3,15,0.7859778597785978,0.7645756457564575,0.7827798277982779,0.0182041820418203,0.034964136989343,0.0197523278387658,0.027260802316743,0.8714860677719116,0.0028539019219701,6.381935278574626,0.0969366824417158,0.5114781697591145,0.0076609206110176,0.4791746894518534,0.0378279967465267,5.948257764180501,0.1477595360913989,1.82041820418203,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A08,eog,bci_adapted_single_channel,16,5,3,15,0.7859778597785978,0.7645756457564575,0.7357933579335794,-0.0287822878228782,0.0385806170874149,0.0210946212958766,0.0343809890917933,0.8715214292208354,0.0029544646967589,6.456846459706624,0.1089785758285381,0.5170327802499135,0.0088888652640307,0.4900912086168925,0.0281078830834312,5.87530787785848,0.1643797495131896,-2.87822878228782,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A08,eog,zero_shot_external,6,5,3,15,0.7859778597785978,0.7645756457564575,0.7257072570725708,-0.0388683886838868,0.021465136933349,0.0110536983708049,0.0173645328330438,0.7421181281407674,0.0035422359511957,9.845141983032226,0.1653821029914841,0.7919953624407451,0.0130611893491814,1.1088131070137024,0.0785434776824335,2.163501524925232,0.1367357084504688,-3.8868388683886796,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A08,eog,zero_shot_external,16,5,3,15,0.7859778597785978,0.7645756457564575,0.7254612546125461,-0.0391143911439114,0.0228663223392319,0.0198165632208081,0.0152243527151446,0.7363821546236674,0.0050466476683253,9.776495424906413,0.1212024544607026,0.7865864634513855,0.0097679362063553,1.030577031771342,0.055619273291884,2.2115445931752524,0.1054921196979126,-3.9114391143911402,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A09,eog,bci_adapted_single_channel,6,5,3,15,0.6856060606060606,0.7363636363636363,0.6681818181818182,-0.0681818181818182,0.0437074036933087,0.0111597877747395,0.0432069157380521,0.7670008937517802,0.0040288495458638,8.879255803426107,0.0777203666711335,0.6498108188311259,0.0055491734798616,0.5057475487391154,0.0103446367028612,3.866577180226644,0.0704785768667231,-6.81818181818182,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A09,eog,bci_adapted_single_channel,16,5,3,15,0.6856060606060606,0.7363636363636363,0.6547979797979798,-0.0815656565656565,0.0665519888001712,0.0084473377190291,0.0631729660570472,0.7577814579010009,0.0045673774741242,9.16446278889974,0.1207407582938696,0.670917809009552,0.0086695438588715,0.4858730773131052,0.012694763238835,3.6057482719421383,0.1036924006535401,-8.156565656565649,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A09,eog,zero_shot_external,6,5,3,15,0.6856060606060606,0.7363636363636363,0.7191919191919192,-0.0171717171717171,0.0472426667474965,0.0318392186349052,0.0346889188313029,0.7268078962961833,0.003671616282232,14.006640879313151,0.1885139745341185,1.0231948216756186,0.0138067030875904,1.3964505116144816,0.0330926880469516,0.0564264950963358,0.1228426876127267,-1.7171717171717098,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A09,eog,zero_shot_external,16,5,3,15,0.6856060606060606,0.7363636363636363,0.7138888888888889,-0.0224747474747474,0.0502614072654155,0.0202193738596828,0.0420608080075494,0.7213969707489014,0.0042771491830387,13.925424957275393,0.287543054404118,1.0173547347386678,0.0204027504336217,1.3631269693374637,0.0676301088494456,0.0902186375111341,0.1713941595660378,-2.2474747474747403,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
