panel,panel_title,row_type,condition,base,width_label,parameters,seed,subject,cc,mean_cc,sd_cc,ci95_low,ci95_high,source_file,aggregation
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,45,,0.9151591062545776,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,46,,0.9149618148803711,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_summary,EMG,2,b2,1048,,,,0.8220901966094971,0.007298394521089098,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,4,b4,3218,,,,0.837435495853424,0.0006258577170186636,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,6,b6,6532,,,,0.8404464721679688,0.0008526064788205711,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,8,b8,10990,,,,0.8427611947059631,0.0004601337179453734,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,16,b16,40262,,,,0.8425066113471985,0.0014977835156646314,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EOG,2,b2,1048,,,,0.8708706021308898,0.014254502988167361,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EOG,4,b4,3218,,,,0.8978746891021728,0.0014942636880585158,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EOG,6,b6,6532,,,,0.9039612412452698,0.0029281802247611943,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EOG,8,b8,10990,,,,0.9074943780899047,0.0012961776299764908,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EOG,16,b16,40262,,,,0.9147581934928894,0.0005692028190122869,,,derived from plotted seed observations,mean and sample SD across independent training seeds
B,Mixed-1M,seed_observation,Mixed-1M,2,b2,1048,42,,0.6814188957214355,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,2,b2,1048,43,,0.7077566385269165,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,2,b2,1048,44,,0.7033253312110901,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,4,b4,3218,42,,0.7269265055656433,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,4,b4,3218,43,,0.727415919303894,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,4,b4,3218,44,,0.7280877828598022,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,6,b6,6532,42,,0.7339723706245422,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,6,b6,6532,43,,0.7346168756484985,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,6,b6,6532,44,,0.737286388874054,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,8,b8,10990,42,,0.7414870858192444,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,8,b8,10990,43,,0.7410934567451477,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,8,b8,10990,44,,0.7404900789260864,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,16,b16,40262,42,,0.7490525245666504,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,16,b16,40262,43,,0.7498526573181152,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_observation,Mixed-1M,16,b16,40262,44,,0.7490725517272949,,,,,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,none; independent training seed
B,Mixed-1M,seed_summary,Mixed-1M,2,b2,1048,,,,0.6975002884864807,0.01410203942979736,,,derived from plotted seed observations,mean and sample SD across independent training seeds
B,Mixed-1M,seed_summary,Mixed-1M,4,b4,3218,,,,0.7274767359097799,0.0005830224979757457,,,derived from plotted seed observations,mean and sample SD across independent training seeds
B,Mixed-1M,seed_summary,Mixed-1M,6,b6,6532,,,,0.7352918783823649,0.0017571000989042964,,,derived from plotted seed observations,mean and sample SD across independent training seeds
B,Mixed-1M,seed_summary,Mixed-1M,8,b8,10990,,,,0.7410235404968262,0.000502167200826219,,,derived from plotted seed observations,mean and sample SD across independent training seeds
B,Mixed-1M,seed_summary,Mixed-1M,16,b16,40262,,,,0.7493259112040201,0.0004562854077510574,,,derived from plotted seed observations,mean and sample SD across independent training seeds
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A01,0.6846669382519193,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A01,0.7295436792903477,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
