classifier,recipe,subject,base,sdr_db,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_train_contamination_seeds,n_test_contamination_seeds,n_checkpoint_seeds,n_classifier_seed_values,subject_mean_sdr_db,subject_mean_delta_accuracy,centered_sdr_db,centered_delta_accuracy,source_file,aggregation
csp_lda,emg,A06,6,3.514469614028931,-0.09674418604651157,25,5,5,5,5,0,3.454894365310669,-0.09763720930232553,0.0595752487182617,0.00089302325581396,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A06,8,3.6474831104278564,-0.09302325581395345,25,5,5,5,5,0,3.454894365310669,-0.09763720930232553,0.19258874511718727,0.004613953488372083,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A06,16,3.7230737018585205,-0.08055813953488368,25,5,5,5,5,0,3.454894365310669,-0.09763720930232553,0.2681793365478513,0.01707906976744185,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A07,2,2.807533760070801,-0.10353790613718405,25,5,5,5,5,0,3.3455951080322266,-0.07018050541516241,-0.5380613479614258,-0.033357400722021646,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A07,4,3.3296329593658447,-0.057472924187725594,25,5,5,5,5,0,3.3455951080322266,-0.07018050541516241,-0.015962148666381903,0.012707581227436815,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A07,6,3.4651367378234865,-0.06093862815884471,25,5,5,5,5,0,3.3455951080322266,-0.07018050541516241,0.11954162979125993,0.009241877256317699,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A07,8,3.547940092086792,-0.07032490974729237,25,5,5,5,5,0,3.3455951080322266,-0.07018050541516241,0.20234498405456547,-0.00014440433212996318,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A07,16,3.577731990814209,-0.058628158844765306,25,5,5,5,5,0,3.3455951080322266,-0.07018050541516241,0.2321368827819823,0.011552346570397103,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A08,2,2.7147216987609863,-0.09549815498154977,25,5,5,5,5,0,2.8072017822265627,-0.08563837638376379,-0.09248008346557635,-0.009859778597785987,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A08,4,2.858979024887085,-0.06819188191881914,25,5,5,5,5,0,2.8072017822265627,-0.08563837638376379,0.051777242660522305,0.017446494464944645,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
