task,task_label,metric,metric_label,base,base_label,epoch,mean,se,sd,n,seeds,budget,lr,source_file,aggregation
emg,EMG,train_loss,Training loss,6,base6,3,0.0679101070832638,0.0006302785305749,0.0008913484460117,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,4,0.0660618681638013,0.0003850018339497,0.0005444748151102,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,5,0.0652330115614902,0.0003208333360297,0.0004537268550746,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,6,0.0647314498733196,0.0002043154888919,0.0002889457353938,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,7,0.0643931726703331,0.0001452316574397,0.0002053885796372,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,8,0.0641060815769292,0.0001694241361249,0.0002396019111011,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,9,0.0639102265682248,0.0001116554563244,0.0001579046606469,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,10,0.0637589296414738,8.379061307225988e-05,0.0001184978214063,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,11,0.0636358588933944,8.829035574481336e-05,0.000124861418521,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,12,0.0635094944653766,9.213248711256727e-05,0.0001302950128097,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,13,0.0634058377306376,8.484028457176468e-05,0.0001199822810769,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,14,0.0633108241838358,8.920226246118128e-05,0.0001261510493669,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,15,0.0632480340610657,7.34983544264517e-05,0.0001039423696419,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,16,0.0632111663619677,7.218565969240032e-05,0.0001020859389458,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,17,0.0630826674756549,4.812745111329453e-05,6.806249408686924e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,18,0.0630649407083789,4.815387406519044e-05,6.809986178379838e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,19,0.0629568025026293,3.030540510302881e-05,4.2858314909914153e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,20,0.062932791365754,3.370557512556021e-05,4.766688147015249e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
